"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",0.7,"NA (NA-NA)","0 (0-0)","0%","11202 (10667-12076)","NA (NA-NA)","0 (0-0)","15442 (14710-16631)","0 (0-0)","NA (NA-NA)"
"2","0.5",0.7,"448 (330-808)","1434 (787-2079)","13%","9774 (8886-10603)","364 (266-649)","1785 (980-2619)","13655 (12447-14710)","1 (1-2)","2046 (1962-3108)"
"3","0.55",0.7,"462 (383-611)","2762 (2273-3325)","25%","8502 (7970-8977)","351 (288-474)","3647 (2819-4411)","11897 (11095-12671)","2 (2-3)","1703 (1652-1721)"
"4","0.6",0.7,"610 (505-774)","4067 (3067-5047)","36%","7202 (6121-8318)","484 (407-629)","5147 (3847-6256)","10449 (9053-11893)","4 (3-4)","916 (801-1484)"
"5","0.65",0.7,"717 (658-827)","5332 (4623-5806)","48%","5919 (5427-6443)","566 (517-654)","6756 (5850-7388)","8745 (8131-9467)","6 (6-6)","591 (589-595)"
"6","0.7",0.7,"850 (783-904)","6751 (6349-7331)","60%","4472 (4198-4859)","671 (620-716)","8555 (8022-9260)","6908 (6461-7514)","9 (9-9)","416 (415-419)"
"7","0.75",0.7,"1072 (995-1143)","7743 (7277-8338)","69%","3493 (3112-3919)","836 (781-894)","9933 (9298-10622)","5579 (4867-6202)","13 (13-13)","255 (255-255)"
"8","0.8",0.7,"1516 (1417-1594)","8844 (8468-9396)","79%","2393 (1954-2828)","1168 (1096-1228)","11479 (10933-12133)","4005 (3346-4716)","21 (21-21)","109 (109-109)"
"9","ann_1703",0.7,"749 (699-792)","5098 (4821-5466)","45%","6194 (5759-6431)","578 (546-607)","6609 (6289-6994)","8987 (8336-9338)","6 (6-6)","1703 (1703-1703)"
"10","ann_180",0.7,"875 (842-915)","7290 (6975-7582)","65%","4014 (3758-4216)","689 (665-721)","9260 (8848-9596)","6346 (5949-6676)","10 (10-10)","180 (180-180)"
"11","ann_416",0.7,"864 (826-898)","6642 (6393-6942)","59%","4639 (4293-4865)","676 (645-703)","8490 (8168-8898)","7080 (6568-7424)","9 (9-9)","416 (416-416)"
"12","ann_435",0.7,"864 (802-912)","6643 (6290-7153)","59%","4584 (4268-4968)","677 (630-715)","8481 (8021-9114)","6998 (6530-7583)","9 (9-9)","435 (435-435)"
"13","ann_590",0.7,"798 (763-832)","7194 (6901-7530)","64%","4081 (3787-4264)","636 (608-663)","9023 (8656-9447)","6528 (6086-6822)","9 (9-9)","590 (590-590)"
"14","ann_800",0.7,"814 (757-862)","6262 (5913-6730)","56%","4977 (4571-5395)","637 (592-675)","8001 (7556-8605)","7499 (6950-8118)","8 (8-8)","800 (800-800)"
"15","ann_916",0.7,"765 (723-812)","6667 (6285-7054)","59%","4606 (4190-4948)","603 (573-636)","8462 (8021-8895)","7141 (6502-7477)","8 (8-8)","916 (916-916)"
"16","ann_late",0.7,"888 (822-928)","7180 (6873-7755)","64%","4047 (3779-4345)","708 (657-740)","9000 (8616-9704)","6477 (6044-6946)","10 (10-10)","300 (300-300)"
"17","bi_1703",0.7,"490 (444-524)","3894 (3643-4301)","35%","7383 (6907-7601)","388 (350-413)","4917 (4625-5449)","10611 (9927-10942)","3 (3-3)","1703 (1703-1703)"
"18","bi_180",0.7,"638 (585-688)","4998 (4639-5452)","45%","6308 (5841-6519)","500 (467-540)","6380 (5911-6831)","9244 (8615-9527)","5 (5-5)","180 (180-180)"
"19","bi_416",0.7,"700 (631-858)","4546 (3710-5049)","41%","6738 (6380-7388)","540 (478-680)","5891 (4680-6659)","9614 (9173-10650)","5 (5-5)","416 (416-416)"
"20","bi_435",0.7,"703 (632-815)","4526 (3906-5038)","40%","6700 (6209-7523)","546 (482-643)","5828 (4954-6611)","9617 (8904-10785)","5 (5-5)","435 (435-435)"
"21","bi_590",0.7,"649 (609-681)","4911 (4678-5243)","44%","6365 (6013-6680)","525 (485-552)","6072 (5769-6574)","9461 (9007-9870)","5 (5-5)","590 (590-590)"
"22","bi_800",0.7,"604 (548-701)","4213 (3630-4649)","37%","7040 (6639-7649)","476 (425-561)","5353 (4535-5990)","10159 (9609-10963)","4 (4-4)","800 (800-800)"
"23","bi_916",0.7,"543 (501-575)","4692 (4435-5089)","42%","6617 (6279-6815)","438 (405-459)","5826 (5555-6298)","9770 (9292-10037)","4 (4-4)","916 (916-916)"
"24","bi_late",0.7,"597 (541-689)","5333 (4616-5875)","47%","5922 (5493-6538)","481 (432-565)","6613 (5639-7366)","8912 (8284-9801)","5 (5-5)","300 (300-300)"
